x	y	z	Transcription of E2F targets under negative control by DREAM complex
246	292	21	1
240	277	24	1
232	278	24	1
237	278	24	1
239	278	24	1
241	279	24	2
239	287	24	1
246	287	24	1
247	289	24	1
249	289	24	1
244	291	24	1
233	269	25	2
238	270	25	1
234	271	25	1
227	272	25	1
228	272	25	1
230	272	25	1
239	272	25	1
235	275	25	1
237	275	25	1
235	276	25	1
236	276	25	1
239	276	25	1
233	277	25	1
234	277	25	1
236	277	25	1
247	277	25	1
231	278	25	2
233	278	25	1
238	278	25	1
239	278	25	1
231	279	25	1
233	279	25	1
235	279	25	1
241	279	25	1
234	280	25	1
235	281	25	1
237	281	25	1
243	281	25	1
214	282	25	1
238	282	25	1
239	282	25	2
240	282	25	1
248	282	25	2
232	283	25	1
235	283	25	2
237	283	25	1
241	283	25	1
246	283	25	1
242	284	25	1
232	285	25	1
237	285	25	2
240	285	25	1
248	285	25	1
252	285	25	1
253	285	25	2
234	286	25	1
235	286	25	1
236	286	25	2
240	286	25	1
242	286	25	2
250	286	25	1
252	286	25	1
254	286	25	1
223	287	25	1
237	287	25	1
245	287	25	2
252	287	25	1
237	288	25	1
242	288	25	1
250	288	25	2
226	289	25	1
236	289	25	1
238	289	25	1
248.5	289.5	25.5	1
225	290	25	2
234	290	25	1
246	290	25	3
237	291	25	3
238	291	25	1
239	291	25	1
241	291	25	1
242	291	25	1
245	291	25	2
250	291	25	1
251	291	25	1
239	292	25	1
240	293	25	1
244	293	25	1
243	294	25	1
242	296	25	1
246	296	25	1
240	298	25	1
243	299	25	1
182	259	26	1
182	260	26	1
230	264	26	1
215	265	26	1
230	267	26	1
235	267	26	1
241	267	26	1
236	268	26	1
227	270	26	1
228	270	26	1
236	270	26	1
237	270	26	1
250	270	26	1
235	271	26	1
236	271	26	1
217	272	26	1
223	272	26	1
224	272	26	1
226	272	26	2
230	272	26	1
239	272	26	1
248	273	26	2
238	274	26	1
237	275	26	1
231	276	26	2
232	276	26	1
239	276	26	1
248	276	26	1
209	277	26	1
232	277	26	1
234	277	26	1
249	277	26	1
231	278	26	1
236	278	26	1
237	278	26	2
249	278	26	1
251	278	26	2
252	278	26	2
231	279	26	1
239	279	26	1
240	279	26	1
246	279	26	1
249	279	26	2
250	279	26	1
208	280	26	1
233	280	26	1
234	280	26	1
238	280	26	2
247	280	26	1
250	280	26	1
217	281	26	1
231	281	26	2
232	281	26	1
234	281	26	1
246	281	26	1
209	282	26	1
212	282	26	1
215	282	26	1
229	282	26	1
234	282	26	1
235	282	26	2
240	282	26	1
246	282	26	1
247	282	26	1
250	282	26	1
253	282	26	1
209	283	26	1
227	283	26	1
234	283	26	1
239	283	26	1
245	283	26	2
246	283	26	1
251	283	26	1
253	283	26	1
254	283	26	1
215	284	26	1
233	284	26	1
236	284	26	1
242	284	26	1
243	284	26	1
246	284	26	1
252	284	26	1
214	285	26	2
235	285	26	1
240	285	26	1
244	285	26	2
246	285	26	1
247	285	26	2
252	285	26	2
216	286	26	3
233	286	26	1
234	286	26	1
236	286	26	1
238	286	26	1
240	286	26	1
246	286	26	1
249	286	26	1
254	286	26	1
223	287	26	1
234	287	26	1
237	287	26	2
243	287	26	1
250	287	26	2
252	287	26	1
253	287	26	1
236	288	26	1
241	288	26	1
250	288	26	1
252	288	26	1
231	289	26	1
234	289	26	1
235	289	26	1
242	289	26	1
243	289	26	2
251	289	26	1
228	290	26	1
236	290	26	1
242	290	26	1
250	290	26	1
222	291	26	3
232	291	26	1
237	291	26	1
239	291	26	2
250	291	26	1
238	292	26	1
239	292	26	1
244	292	26	2
247	292	26	1
252	292	26	1
236	293	26	1
244	293	26	1
245	293	26	2
247	293	26	2
220	294	26	1
235	294	26	2
241	294	26	1
242	294	26	1
245	294	26	1
222	295	26	1
234	295	26	2
239	295	26	1
241	295	26	1
245	295	26	1
248	295	26	1
239	296	26	1
241	296	26	1
242	296	26	1
244	296	26	1
236	297	26	2
244	297	26	1
245	297	26	1
246	297	26	1
235	298	26	1
236	299	26	1
239	299	26	1
241	299	26	1
235	301	26	1
182	255	27	1
184	255	27	1
181	258	27	1
184	258	27	1
215	258	27	3
232	258	27	1
228	259	27	1
176	260	27	1
184	260	27	2
186	260	27	1
226	260	27	1
233	260	27	1
180	261	27	1
181	261	27	1
182	261	27	1
185	261	27	1
187	261	27	1
231	261	27	1
232	261	27	1
234	261	27	1
180	262	27	1
227	262	27	1
232	262	27	1
233	262	27	2
238	262	27	1
239	262	27	2
179	263	27	1
183	263	27	2
185	263	27	1
210	263	27	1
215	263	27	1
220	263	27	1
227	263	27	1
231	263	27	1
180	264	27	1
209	264	27	2
219	264	27	2
224	264	27	1
229	264	27	2
231	264	27	1
237	264	27	1
212	265	27	2
215	265	27	2
226	265	27	1
233	265	27	1
234	265	27	1
179	266	27	1
180	266	27	2
215	266	27	1
217	266	27	1
221	266	27	1
227	266	27	1
231	266	27	1
234	266	27	1
235	266	27	1
237	266	27	1
179	267	27	2
226	267	27	1
229	267	27	1
231	267	27	2
232	267	27	1
234	267	27	1
239	267	27	2
240	267	27	2
241	267	27	2
179	268	27	1
180	268	27	1
216	268	27	1
217	268	27	1
224	268	27	1
227	268	27	2
228	268	27	1
229	268	27	1
235	268	27	1
240	268	27	1
182	269	27	1
211	269	27	1
213	269	27	1
224	269	27	2
225	269	27	1
233	269	27	1
234	269	27	1
236	269	27	1
237	269	27	2
238	269	27	1
240	269	27	1
241	269	27	1
243	269	27	1
178	270	27	2
216	270	27	1
217	270	27	1
218	270	27	2
221	270	27	1
230	270	27	1
231	270	27	1
240	270	27	1
242	270	27	1
243	270	27	1
250	270	27	2
178	271	27	1
180	271	27	2
181	271	27	1
182	271	27	1
207	271	27	1
210	271	27	1
211	271	27	1
215	271	27	1
216	271	27	1
217	271	27	1
225	271	27	1
235	271	27	1
237	271	27	1
247	271	27	1
249	271	27	1
251	271	27	1
176	272	27	1
179	272	27	1
203	272	27	1
204	272	27	1
208	272	27	2
216	272	27	1
227	272	27	1
231	272	27	2
238	272	27	1
241	272	27	1
247	272	27	2
206	273	27	2
212	273	27	1
213	273	27	1
214	273	27	1
224	273	27	1
229	273	27	1
231	273	27	1
235	273	27	1
237	273	27	1
248	273	27	1
204	274	27	1
207	274	27	2
213	274	27	1
216	274	27	1
224	274	27	1
227	274	27	1
230	274	27	1
232	274	27	1
233	274	27	1
243	274	27	1
252	274	27	1
184	275	27	1
185	275	27	1
205	275	27	1
208	275	27	1
214	275	27	1
217	275	27	2
218	275	27	2
222	275	27	1
223	275	27	1
224	275	27	1
240	275	27	2
246	275	27	1
247	275	27	1
252	275	27	1
210	276	27	1
214	276	27	1
215	276	27	1
219	276	27	3
230	276	27	1
234	276	27	1
205	277	27	2
207	277	27	1
211	277	27	2
212	277	27	1
213	277	27	1
231	277	27	1
238	277	27	1
240	277	27	2
244	277	27	2
252	277	27	1
214	278	27	2
225	278	27	1
