x	y	z	RNA Polymerase II Transcription Elongation
246	292	21	1
239	272	24	1
240	277	24	1
232	278	24	2
235	278	24	1
239	278	24	2
245	284	24	1
244	287	24	1
246	287	24	1
245	288	24	1
248	289	24	2
232	265	25	1
235	270	25	1
233	272	25	3
236	273	25	1
231	274	25	1
236	275	25	1
240	276	25	1
231	277	25	1
237	277	25	2
232	278	25	1
232	279	25	1
233	279	25	1
236	279	25	1
240	279	25	1
232	280	25	1
233	280	25	2
234	280	25	1
235	281	25	1
243	281	25	1
248	281	25	1
237	282	25	1
239	282	25	2
248	282	25	1
230	283	25	1
231	283	25	1
234	283	25	1
239	283	25	1
243	283	25	2
245	283	25	1
246	283	25	1
234	284	25	1
236	284	25	1
241	284	25	1
243	284	25	1
247	284	25	1
250	284	25	1
215	285	25	1
234	285	25	1
240	285	25	2
241	285	25	1
243	285	25	1
244	285	25	1
248	285	25	1
250	285	25	1
232	286	25	1
236	286	25	1
241	286	25	3
245	286	25	1
237	287	25	1
245	287	25	1
246	287	25	1
224	288	25	1
235	288	25	2
236	288	25	2
251	288	25	1
226	289	25	1
236	289	25	1
241	289	25	1
238	290	25	3
243	290	25	1
244	290	25	1
236	291	25	2
239	291	25	1
245	291	25	2
251	291	25	1
227	292	25	1
235	292	25	1
238	292	25	1
250	292	25	2
247	293	25	2
242	294	25	1
244	294	25	2
247	294	25	1
237	295	25	1
238	296	25	1
246	296	25	2
247	296	25	1
241	299	25	2
239	300	25	1
239	302	25	1
176	259	26	2
182	260	26	1
232	263	26	1
229	264	26	1
234	265	26	1
237	266	26	1
230	267	26	1
236	268	26	2
241	268	26	1
228	269	26	1
236	269	26	1
233	270	26	1
235	270	26	1
217	272	26	2
226	272	26	1
234	272	26	1
239	272	26	1
236	273	26	2
239	273	26	1
248	273	26	1
249	273	26	1
236	274	26	1
236	275	26	1
237	275	26	2
239	275	26	1
245	275	26	1
248	275	26	2
250	275	26	1
234	276	26	2
238	276	26	1
239	276	26	1
207	277	26	1
209	277	26	1
210	277	26	1
235	277	26	1
239	277	26	2
249	277	26	1
235	278	26	1
236	278	26	1
251	278	26	1
231	279	26	1
232	279	26	1
246	279	26	1
250	279	26	2
208	280	26	1
230	280	26	1
234	280	26	1
242	280	26	2
248	280	26	1
249	280	26	1
240	281	26	1
244	281	26	1
215	282	26	1
231	282	26	1
238	282	26	1
240	282	26	2
242	282	26	1
245	282	26	1
209	283	26	1
231	283	26	1
234	283	26	1
245	283	26	1
248	283	26	1
212	284	26	1
232	284	26	2
237	284	26	1
238	284	26	1
243	284	26	1
244	284	26	1
246	284	26	1
250	284	26	1
252	284	26	1
211	285	26	1
212	285	26	1
214	285	26	1
232	285	26	1
240	285	26	1
244	285	26	1
246	285	26	1
247	285	26	1
254	285	26	1
232	286	26	2
241	286	26	1
246	286	26	1
247	286	26	1
249	286	26	2
223	287	26	2
232	287	26	1
243	287	26	1
249	287	26	1
250	287	26	1
232	288	26	2
245	288	26	1
248	288	26	1
249	288	26	1
250	288	26	1
222	289	26	1
227	289	26	1
234	289	26	2
235	289	26	2
236	289	26	1
238	289	26	1
242	289	26	2
251	289	26	1
225	290	26	1
228	290	26	1
236	290	26	1
237	290	26	2
239	290	26	1
222	291	26	3
232	291	26	1
235	291	26	1
236	291	26	2
237	291	26	1
238	291	26	2
242	291	26	2
245	291	26	1
249	291	26	1
225	292	26	1
226	292	26	1
239	292	26	1
240	292	26	1
242	292	26	1
237	293	26	2
239	293	26	1
240	293	26	1
246	293	26	1
247	293	26	2
241	294	26	1
221	295	26	1
