x	y	z	Transcriptional Regulation by MECP2
216.157603775171	275.673637444315	34.5586340221659	1
246	292	21	2
240	277	24	1
232	278	24	1
235	278	24	3
248	286	24	1
239	287	24	3
244	287	24	1
245	287	24	3
251	287	24	4
243	288	24	1
249	288	24	1
244	289	24	1
246	289	24	1
247	289	24	2
248	289	24	2
249	289	24	1
244	290	24	1
244	291	24	1
231	264	25	1
231	268	25	1
236	268	25	2
233	269	25	1
235	270	25	2
234	271	25	2
227	272	25	1
230	272	25	2
233	272	25	2
239	272	25	2
235	273	25	2
238	273	25	3
230	274	25	1
231	274	25	1
234	274	25	1
235	274	25	1
238	274	25	2
235	275	25	3
236	275	25	1
237	275	25	1
238	275	25	1
233	276	25	2
234	276	25	1
235	276	25	2
236	276	25	1
248	276	25	2
231	277	25	1
232	277	25	2
233	277	25	2
234	277	25	1
235	277	25	1
236	277	25	2
237	277	25	1
247	277	25	1
231	278	25	2
234	278	25	2
236	278	25	1
237	278	25	2
238	278	25	1
239	278	25	1
231	279	25	2
232	279	25	6
236	279	25	3
238	279	25	1
240	279	25	2
249	279	25	1
232	280	25	1
233	280	25	1
239	280	25	1
241	280	25	1
245	280	25	2
248	280	25	4
231	281	25	1
234	281	25	1
241	281	25	2
243	281	25	1
245	281	25	1
248	281	25	1
214	282	25	3
233	282	25	1
235	282	25	3
238	282	25	2
239	282	25	1
247	282	25	1
248	282	25	1
249	282	25	1
230	283	25	2
231	283	25	1
234	283	25	1
236	283	25	1
237	283	25	1
239	283	25	5
240	283	25	2
241	283	25	2
243	283	25	2
245	283	25	1
246	283	25	3
247	283	25	1
249	283	25	2
234	284	25	1
235	284	25	1
236	284	25	1
242	284	25	3
243	284	25	1
244	284	25	5
245	284	25	4
247	284	25	1
249	284	25	1
250	284	25	1
252	284	25	2
232	285	25	1
234	285	25	2
237	285	25	1
239	285	25	1
240	285	25	1
241	285	25	2
244	285	25	2
246	285	25	3
248	285	25	1
252	285	25	1
253	285	25	1
218	286	25	2
232	286	25	1
234	286	25	1
236	286	25	2
241	286	25	1
242	286	25	2
243	286	25	2
245	286	25	1
250	286	25	2
254	286	25	1
223	287	25	2
238	287	25	1
249	287	25	3
252	287	25	3
224	288	25	3
235	288	25	2
237	288	25	1
239	288	25	3
242	288	25	1
250	288	25	2
251	288	25	1
226	289	25	3
234	289	25	1
235	289	25	2
236	289	25	3
238	289	25	1
241	289	25	1
248.5	289.5	25.5	1
252	289	25	2
234	290	25	1
236	290	25	2
238	290	25	1
244	290	25	1
246	290	25	1
250	290	25	1
226	291	25	1
234	291	25	1
235	291	25	2
236	291	25	1
237	291	25	1
240	291	25	1
245	291	25	2
246	291	25	2
227	292	25	1
235	292	25	1
237	292	25	1
238	292	25	1
239	292	25	3
243	292	25	3
250	292	25	1
240	293	25	1
243	293	25	2
240	294	25	1
243	294	25	1
244	294	25	2
246	294	25	1
247	294	25	1
240	295	25	2
243	295	25	2
245	295	25	1
242	296	25	2
244	296	25	1
246	296	25	1
247	296	25	1
