x	y	z	TP53 Regulates Transcription of Death Receptors and Ligands
244	284	21	1
240	286	21	1
246	292	21	1
240	277	24	1
239	278	24	1
244	286	24	2
239	287	24	1
249	288	24	1
233	269	25	2
234	271	25	1
230	274	25	1
234	274	25	2
235	275	25	1
232.5	276.5	25.5	1
236	276	25	1
240	276	25	1
231	277	25	1
247	277	25	1
231	278	25	1
234	278	25	1
237	278	25	1
238	278	25	2
235	279	25	2
238	279	25	1
240	279	25	1
247	279	25	1
239	280	25	1
240	281	25	1
241	281	25	1
249	281	25	1
233	282	25	1
247	282	25	1
230	283	25	1
232	283	25	1
234	283	25	1
238	283	25	1
241	283	25	1
243	283	25	1
246	283	25	1
235	284	25	1
237	284	25	1
242	284	25	1
245	284	25	1
249	284	25	1
235	285	25	1
236	285	25	1
237	285	25	1
240	285	25	1
241	285	25	1
243	285	25	2
235	286	25	1
238	287	25	1
242	287	25	1
246	287	25	1
249	287	25	1
251	287	25	3
252	287	25	1
236	288	25	1
242	288	25	1
226	289	25	1
236	289	25	1
237	289	25	1
244	289	25	1
250	289	25	1
236	290	25	1
244	290	25	2
234	291	25	1
239	291	25	1
241	291	25	1
250	291	25	1
249	292	25	1
239	293	25	1
240	293	25	1
243	293	25	1
246	293	25	1
243	294	25	2
246	294	25	1
247	296	25	1
239	297	25	1
243	299	25	1
238	300	25	1
240	300	25	1
229	264	26	2
232	265	26	2
237	266	26	2
234	267	26	1
241	267	26	1
233	270	26	1
235	270	26	1
236	270	26	1
235	271	26	1
236	271	26	3
226	272	26	1
237	273	26	1
248	275	26	1
249	275	26	1
250	275	26	1
207	276	26	1
215	276	26	1
232	276	26	1
207	277	26	1
210	277	26	1
232	277	26	1
234	278	26	1
249	278	26	1
249	279	26	2
236	280	26	1
241	280	26	1
247	280	26	1
230	281	26	1
232	281	26	1
235	281	26	1
237	281	26	1
244	281	26	1
246	281	26	1
249	281	26	1
250	281	26	1
229	282	26	1
233	282	26	2
237	282	26	1
242	282	26	1
250	282	26	1
254	282	26	1
227	283	26	1
231	283	26	1
249	283	26	1
236	284	26	1
238	284	26	1
242	284	26	1
214	285	26	1
237	285	26	1
244	285	26	1
216	286	26	1
232	286	26	1
237	286	26	1
238	286	26	1
243	286	26	1
249	286	26	1
252	286	26	1
254	286	26	1
234	287	26	1
243	287	26	1
247	287	26	1
251	287	26	1
253	287	26	1
232	288	26	1
240	288	26	1
241	288	26	1
243	288	26	1
248	288	26	1
249	288	26	1
250	288	26	1
253	288	26	2
223	289	26	1
233	289	26	1
234	289	26	2
235	289	26	1
243	289	26	1
239	290	26	1
240	290	26	1
242	290	26	2
243	290	26	1
222	291	26	1
235	291	26	1
239	291	26	3
242	291	26	1
245	291	26	1
246	291	26	1
249	291	26	1
252	292	26	1
234	293	26	1
244	293	26	2
240	294	26	1
243	294	26	1
246	294	26	2
221	295	26	1
222	295	26	1
244	295	26	2
235	296	26	1
241	296	26	2
244	296	26	1
236	297	26	1
237	297	26	1
239	297	26	1
242	297	26	2
242	298	26	2
236	299	26	1
241	299	26	1
243	299	26	1
227	300	26	1
235	301	26	1
186	257	27	1
232	258	27	1
184	259	27	1
185	259	27	1
231	259	27	2
176	260	27	1
181	260	27	1
234	260	27	1
182	261	27	1
183	261	27	1
187	261	27	1
222	261	27	1
229	261	27	1
231	261	27	1
232	261	27	1
227	262	27	1
232	262	27	1
233	262	27	1
236	262	27	1
238	262	27	1
215	263	27	1
229	263	27	1
231	263	27	1
236	263	27	1
244	263	27	2
222	264	27	1
225	264	27	1
231	264	27	1
238	264	27	1
184	265	27	1
189	265	27	1
225	265	27	1
231	265	27	1
239	265	27	2
178	266	27	1
219	266	27	1
227	266	27	1
229	266	27	1
234	266	27	1
235	266	27	1
237	266	27	1
239	266	27	1
182	267	27	1
229	267	27	2
231	267	27	1
233	267	27	1
234	267	27	1
241	267	27	1
250	267	27	1
180	268	27	2
215	268	27	1
222	268	27	1
223	268	27	1
226	268	27	1
234	268	27	1
236	268	27	1
238	268	27	2
239	268	27	1
243	268	27	1
180	269	27	1
231	269	27	1
232	269	27	1
237	269	27	1
240	269	27	1
241	269	27	1
242	269	27	1
181	270	27	1
221	270	27	1
242	270	27	1
244	270	27	1
250	270	27	1
177	271	27	1
178	271	27	1
181	271	27	1
223	271	27	1
236	271	27	1
237	271	27	1
238	271	27	1
240	271	27	1
250	271	27	1
179	272	27	1
217	272	27	1
232	272	27	1
237	272	27	1
247	272	27	2
250	272	27	1
183	273	27	1
205	273	27	1
206	273	27	1
214	273	27	1
223	273	27	1
231	273	27	1
232	273	27	1
238	273	27	1
239	273	27	1
247	273	27	2
248	273	27	1
