x	y	z	RUNX1 regulates transcription of genes involved in differentiation of HSCs
216.157603775171	275.673637444315	34.5586340221659	1
244	284	21	1
240	286	21	1
246	292	21	1
239	272	24	1
245	284	24	1
239	287	24	1
244	287	24	1
251	287	24	3
249	288	24	1
247	289	24	1
231	264	25	2
235	270	25	1
234	271	25	1
227	272	25	1
228	272	25	2
230	272	25	1
239	272	25	1
238	273	25	1
233	274	25	1
234	274	25	1
235	274	25	1
238	274	25	1
235	275	25	1
237	275	25	1
232.5	276.5	25.5	2
236	276	25	2
240	276	25	1
248	276	25	1
233	277	25	2
237	277	25	1
235	279	25	1
237	279	25	1
240	279	25	1
247	279	25	3
249	279	25	1
233	280	25	1
234	280	25	1
236	280	25	1
231	281	25	1
235	281	25	1
241	281	25	1
245	281	25	1
248	281	25	1
249	281	25	1
231	282	25	3
234	282	25	1
237	282	25	1
248	282	25	1
249	282	25	1
231	283	25	1
235	283	25	1
238	283	25	2
247	283	25	1
213	284	25	2
233	284	25	4
235	284	25	2
236	284	25	1
237	284	25	2
241	284	25	1
244	284	25	1
249	284	25	1
252	284	25	1
215	285	25	1
234	285	25	1
236	285	25	1
240	285	25	1
241	285	25	1
243	285	25	3
244	285	25	1
246	285	25	1
250	285	25	1
253	285	25	1
232	286	25	1
233	286	25	1
236	286	25	1
241	286	25	1
242	286	25	2
237	287	25	1
238	287	25	1
242	287	25	1
246	287	25	1
251	287	25	1
252	287	25	1
235	288	25	1
236	288	25	1
237	288	25	1
239	288	25	2
250	288	25	2
251	288	25	1
234	289	25	1
235	289	25	1
236	289	25	1
237	289	25	1
238	289	25	1
250	289	25	1
235	290	25	1
237	290	25	1
238	290	25	2
250	290	25	2
234	291	25	1
236	291	25	1
242	291	25	1
245	291	25	1
251	291	25	1
227	292	25	1
237	292	25	1
238	292	25	1
249	292	25	2
239	293	25	1
240	293	25	2
244	293	25	1
247	293	25	1
244	294	25	1
243	295	25	2
245	295	25	2
238	296	25	1
242	296	25	2
240	298	25	1
241	299	25	1
243	299	25	1
227	300	25	1
183	258	26	2
176	259	26	1
182	259	26	1
229	262	26	3
229	264	26	2
230	264	26	1
215	265	26	1
232	265	26	1
237	266	26	2
230	267	26	1
235	267	26	1
241	267	26	1
235	268	26	2
237	269	26	1
227	270	26	1
228	270	26	2
234	270	26	1
236	270	26	1
237	270	26	1
236	271	26	2
215	272	26	1
217	272	26	1
226	272	26	1
230	272	26	1
232	272	26	1
249	273	26	1
233	274	26	2
233	275	26	1
236	275	26	1
237	275	26	1
245	275	26	1
246	275	26	1
250	275	26	4
215	276	26	1
231	276	26	1
234	276	26	1
237	276	26	1
238	276	26	1
244	276	26	2
210	277	26	1
213	277	26	1
230	277	26	1
231	277	26	1
234	277	26	1
