x	y	z	RNA Polymerase III Transcription Termination
244	284	21	2
246	292	21	2
239	272	24	1
235	278	24	1
237	278	24	1
239	278	24	2
241	279	24	2
245	284	24	2
244	286	24	3
248	286	24	2
239	287	24	2
244	287	24	1
245	287	24	1
246	287	24	1
251	287	24	1
243	288	24	1
244	288	24	2
249	288	24	1
244	289	24	2
247	289	24	2
248	289	24	1
249	289	24	2
244	291	24	1
231	264	25	1
232	265	25	2
231	268	25	2
235	270	25	1
234	271	25	1
227	272	25	1
228	272	25	2
230	272	25	1
239	272	25	1
236	273	25	2
231	274	25	1
232	274	25	4
233	274	25	2
238	274	25	2
235	275	25	4
237	275	25	1
234	276	25	2
235	276	25	1
236	276	25	1
239	276	25	3
240	276	25	1
248	276	25	1
232	277	25	3
233	277	25	3
234	277	25	1
237	277	25	2
247	277	25	1
233	278	25	2
234	278	25	4
236	278	25	1
237	278	25	6
239	278	25	1
231	279	25	1
234	279	25	2
235	279	25	3
236	279	25	1
237	279	25	1
239	279	25	1
240	279	25	1
241	279	25	1
247	279	25	2
233	280	25	1
234	280	25	3
236	280	25	1
241	280	25	1
245	280	25	2
248	280	25	1
234	281	25	2
235	281	25	2
237	281	25	2
241	281	25	2
243	281	25	1
245	281	25	3
248	281	25	2
214	282	25	1
231	282	25	2
233	282	25	1
234	282	25	2
235	282	25	1
237	282	25	3
238	282	25	2
239	282	25	2
240	282	25	4
245	282	25	1
247	282	25	1
248	282	25	1
249	282	25	3
230	283	25	3
231	283	25	1
232	283	25	2
234	283	25	3
236	283	25	1
237	283	25	1
238	283	25	1
240	283	25	1
243	283	25	1
246	283	25	2
247	283	25	1
249	283	25	1
213	284	25	2
233	284	25	3
234	284	25	3
236	284	25	3
237	284	25	3
242	284	25	3
243	284	25	2
244	284	25	1
245	284	25	1
247	284	25	1
249	284	25	2
252	284	25	1
215	285	25	1
232	285	25	1
234	285	25	2
235	285	25	1
236	285	25	2
237	285	25	2
238	285	25	2
240	285	25	1
244	285	25	3
246	285	25	1
248	285	25	1
250	285	25	1
252	285	25	1
253	285	25	3
218	286	25	3
232	286	25	4
233	286	25	2
234	286	25	1
235	286	25	1
240	286	25	1
242	286	25	2
243	286	25	1
245	286	25	3
250	286	25	1
252	286	25	2
254	286	25	1
245	287	25	1
246	287	25	1
249	287	25	2
252	287	25	1
224	288	25	1
235	288	25	1
236	288	25	1
242	288	25	1
250	288	25	1
226	289	25	1
234	289	25	2
236	289	25	2
237	289	25	1
238	289	25	2
242	289	25	1
244	289	25	2
250	289	25	1
236	290	25	1
237	290	25	2
238	290	25	1
244	290	25	1
246	290	25	2
249	290	25	1
250	290	25	1
234	291	25	1
235	291	25	4
236	291	25	2
240	291	25	2
242	291	25	3
245	291	25	2
246	291	25	1
250	291	25	5
251	291	25	2
227	292	25	2
235	292	25	2
238	292	25	3
243	292	25	1
244	292	25	1
250	292	25	2
240	293	25	1
243	293	25	1
246	293	25	2
239	294	25	2
240	294	25	1
242	294	25	1
243	294	25	1
247	294	25	1
234	295	25	1
240	295	25	1
241	295	25	1
243	295	25	1
238	296	25	2
239	296	25	1
242	296	25	1
244	296	25	1
246	296	25	1
239	297	25	2
243	297	25	3
240	298	25	1
241	299	25	1
243	299	25	1
227	300	25	1
238	300	25	2
239	300	25	1
239	302	25	1
183	258	26	2
176	259	26	2
182	259	26	1
230	264	26	1
231	264	26	5
215	265	26	3
237	266	26	1
230	267	26	2
235	267	26	1
241	267	26	1
233	268	26	2
235	268	26	3
236	268	26	2
241	268	26	1
228	269	26	2
229	269	26	1
236	269	26	1
237	269	26	3
227	270	26	2
233	270	26	2
234	270	26	3
236	270	26	2
238	270	26	1
240	270	26	2
229	271	26	1
235	271	26	3
240	271	26	2
217	272	26	2
224	272	26	3
226	272	26	2
232	272	26	2
234	272	26	2
231	273	26	1
237	273	26	1
239	273	26	3
248	273	26	1
249	273	26	2
231	274	26	2
233	274	26	1
236	274	26	2
235	275	26	2
236	275	26	2
239	275	26	1
245	275	26	1
246	275	26	2
249	275	26	1
250	275	26	1
207	276	26	1
215	276	26	2
231	276	26	1
232	276	26	1
233	276	26	1
234	276	26	2
235	276	26	2
239	276	26	2
248	276	26	1
209	277	26	2
210	277	26	1
213	277	26	4
230	277	26	2
235	277	26	1
236	277	26	1
239	277	26	3
249	277	26	2
250	277	26	2
231	278	26	1
232	278	26	4
233	278	26	1
234	278	26	1
236	278	26	1
237	278	26	2
239	278	26	3
243	278	26	1
207	279	26	1
231	279	26	4
232	279	26	2
233	279	26	2
234	279	26	3
236	279	26	2
239	279	26	1
240	279	26	2
241	279	26	3
208	280	26	1
233	280	26	2
236	280	26	1
238	280	26	3
240	280	26	1
242	280	26	1
247	280	26	1
248	280	26	1
249	280	26	3
230	281	26	1
231	281	26	2
232	281	26	1
234	281	26	1
235	281	26	1
236	281	26	1
237	281	26	2
240	281	26	1
244	281	26	4
246	281	26	2
247	281	26	1
248	281	26	1
249	281	26	1
250	281	26	1
208	282	26	2
212	282	26	1
215	282	26	1
229	282	26	3
231	282	26	1
233	282	26	3
234	282	26	2
235	282	26	2
238	282	26	2
240	282	26	1
242	282	26	1
245	282	26	3
246	282	26	1
247	282	26	1
249	282	26	2
253	282	26	3
209	283	26	1
227	283	26	2
231	283	26	2
233	283	26	3
234	283	26	1
238	283	26	2
239	283	26	3
241	283	26	1
243	283	26	1
246	283	26	1
251	283	26	1
252	283	26	1
253	283	26	1
254	283	26	2
215	284	26	1
232	284	26	2
233	284	26	1
235	284	26	3
236	284	26	1
237	284	26	3
242	284	26	1
243	284	26	2
244	284	26	1
246	284	26	2
248	284	26	1
250	284	26	1
212	285	26	1
214	285	26	2
234	285	26	1
240	285	26	1
244	285	26	2
246	285	26	1
247	285	26	3
250	285	26	2
252	285	26	2
254	285	26	1
255	285	26	1
216	286	26	1
225	286	26	1
232	286	26	1
233	286	26	1
234	286	26	3
235	286	26	1
238	286	26	4
240	286	26	2
241	286	26	2
242	286	26	2
243	286	26	1
246	286	26	1
247	286	26	1
249	286	26	4
250	286	26	4
251	286	26	3
253	286	26	1
254	286	26	1
223	287	26	2
224	287	26	1
228	287	26	1
232	287	26	1
234	287	26	3
236	287	26	1
237	287	26	1
247	287	26	1
248	287	26	1
249	287	26	1
250	287	26	3
251	287	26	2
253	287	26	1
235	288	26	1
240	288	26	3
241	288	26	3
245	288	26	1
248	288	26	3
250	288	26	2
252	288	26	2
253	288	26	1
233	289	26	4
234	289	26	2
235	289	26	4
237	289	26	1
238	289	26	2
242	289	26	2
251	289	26	1
225	290	26	4
228	290	26	1
236	290	26	1
238	290	26	2
239	290	26	2
240	290	26	3
242	290	26	1
244	290	26	1
250	290	26	1
222	291	26	2
232	291	26	2
235	291	26	1
237	291	26	2
239	291	26	1
244	291	26	1
245	291	26	1
246	291	26	1
250	291	26	1
225	292	26	2
226	292	26	3
227	292	26	1
237	292	26	3
242	292	26	2
244	292	26	2
245	292	26	2
247	292	26	2
249	292	26	2
250	292	26	3
252	292	26	2
254	292	26	3
225	293	26	2
234	293	26	3
236	293	26	3
239	293	26	1
240	293	26	1
245	293	26	1
246	293	26	1
247	293	26	2
253	293	26	1
235	294	26	2
237	294	26	3
240	294	26	3
241	294	26	4
244	294	26	1
245	294	26	1
246	294	26	1
221	295	26	1
222	295	26	1
234	295	26	1
239	295	26	2
240	295	26	1
241	295	26	1
242	295	26	2
243	295	26	1
