x	y	z	Regulation of PTEN gene transcription
216.157603775171	275.673637444315	34.5586340221659	1
240	286	21	1
239	272	24	1
240	277	24	2
232	278	24	1
239	278	24	1
245	284	24	1
246	284	24	1
244	286	24	1
239	287	24	1
244	287	24	1
245	287	24	1
245	288	24	2
249	288	24	1
244	289	24	3
247	289	24	1
249	289	24	1
244	291	24	2
231	264	25	1
231	268	25	1
236	268	25	2
233	269	25	2
235	270	25	1
238	270	25	1
234	271	25	2
228	272	25	1
230	272	25	3
233	272	25	1
238	272	25	1
235	273	25	1
236	273	25	1
238	273	25	2
232	274	25	1
233	274	25	2
234	274	25	1
238	274	25	3
235	275	25	1
234	276	25	2
236	276	25	1
237	276	25	1
231	277	25	1
234	277	25	1
236	277	25	1
237	277	25	1
247	277	25	3
231	278	25	1
233	278	25	2
236	278	25	1
237	278	25	2
238	278	25	1
239	278	25	1
231	279	25	1
232	279	25	1
233	279	25	1
234	279	25	1
235	279	25	1
236	279	25	1
237	279	25	1
238	279	25	1
239	279	25	1
240	279	25	2
241	279	25	1
234	280	25	1
236	280	25	2
239	280	25	1
241	280	25	1
231	281	25	1
240	281	25	1
248	281	25	1
249	281	25	1
235	282	25	2
238	282	25	1
247	282	25	1
248	282	25	1
249	282	25	1
230	283	25	1
231	283	25	1
234	283	25	1
235	283	25	1
237	283	25	2
241	283	25	1
243	283	25	2
246	283	25	4
247	283	25	1
234	284	25	2
235	284	25	1
236	284	25	1
237	284	25	3
242	284	25	1
243	284	25	1
244	284	25	1
249	284	25	1
250	284	25	2
252	284	25	2
215	285	25	1
232	285	25	1
234	285	25	1
235	285	25	2
238	285	25	2
240	285	25	1
241	285	25	4
244	285	25	1
248	285	25	3
250	285	25	1
252	285	25	1
218	286	25	1
232	286	25	1
235	286	25	1
241	286	25	1
242	286	25	2
243	286	25	1
245	286	25	4
252	286	25	2
223	287	25	2
237	287	25	3
238	287	25	2
242	287	25	2
245	287	25	1
246	287	25	1
249	287	25	1
236	288	25	1
237	288	25	4
242	288	25	2
226	289	25	1
235	289	25	1
241	289	25	1
242	289	25	2
244	289	25	1
248.5	289.5	25.5	1
250	289	25	1
252	289	25	3
225	290	25	1
236	290	25	1
237	290	25	4
238	290	25	1
243	290	25	2
244	290	25	2
249	290	25	3
250	290	25	2
235	291	25	1
237	291	25	1
239	291	25	1
240	291	25	1
241	291	25	2
242	291	25	1
245	291	25	1
250	291	25	1
251	291	25	2
227	292	25	1
237	292	25	2
238	292	25	1
249	292	25	2
250	292	25	1
239	293	25	1
243	293	25	1
244	293	25	2
239	294	25	1
240	294	25	2
241	294	25	1
242	294	25	1
243	294	25	2
244	294	25	4
246	294	25	1
247	294	25	1
234	295	25	2
237	295	25	1
240	295	25	1
243	295	25	1
245	295	25	2
239	296	25	2
242	296	25	2
244	296	25	2
243	297	25	2
227	300	25	2
240	300	25	1
183	258	26	3
176	259	26	1
182	260	26	1
232	263	26	1
230	264	26	1
215	265	26	2
234	265	26	1
237	266	26	2
241	267	26	1
235	268	26	1
241	268	26	1
228	269	26	4
229	269	26	1
236	269	26	1
237	269	26	1
227	270	26	1
228	270	26	1
233	270	26	1
234	270	26	2
235	270	26	1
237	270	26	2
240	270	26	1
229	271	26	1
215	272	26	3
217	272	26	1
226	272	26	1
232	272	26	3
234	272	26	1
236	272	26	1
239	272	26	1
231	273	26	2
239	273	26	2
248	273	26	1
232	275	26	2
236	275	26	1
237	275	26	1
239	275	26	1
246	275	26	2
249	275	26	1
207	276	26	3
234	276	26	2
237	276	26	2
213	277	26	3
231	277	26	1
235	277	26	2
239	277	26	2
249	277	26	1
234	278	26	1
237	278	26	1
240	278	26	1
